Source,Target,Weight
7,4,27413.0
7,5,26187.0
7,6,27772.0
7,8,3787.0
7,9,6778.0
7,10,5013.0
7,11,346.0
7,12,18048.0
7,13,26040.0
7,14,4097.0
7,15,242514.0
7,16,5949.0
7,17,14935.0
7,18,19262.25
7,19,117634.0
7,20,41836.0
8,1,986.0
8,2,34459.0
8,3,118827.25
8,4,17480.0
8,5,13968.0
8,6,16957.0
8,7,3787.0
8,9,4161.0
8,10,17208.0
8,11,5931.0
8,12,18131.0
8,13,10411.0
8,14,960.0
8,15,186417.0
8,16,3724.0
8,17,4028.0
8,18,8063.25
8,19,83221.0
8,20,21275.0
9,1,5163.0
9,2,15728.0
9,3,99562.25
9,4,20945.0
9,5,7415.0
9,6,17174.0
9,7,6778.0
9,8,4161.0
9,10,18619.0
9,11,8716.0
9,12,21760.0
9,13,16842.0
9,14,3223.0
9,15,193838.0
9,16,3079.0
9,17,6973.0
9,18,12470.25
9,19,87142.0
9,20,23850.0
10,1,25964.0
10,2,56821.0
10,3,203473.25
10,4,47062.0
10,5,49162.0
10,6,47339.0
10,7,5013.0
10,8,17208.0
10,9,18619.0
10,11,3051.0
10,12,27053.0
10,13,53129.0
10,14,16038.0
10,15,314911.0
10,16,16928.0
10,17,36848.0
10,18,39685.25
10,19,163829.0
10,20,74657.0
11,1,11353.0
11,2,44060.0
11,3,164386.25
11,4,29427.0
11,5,30567.0
11,6,29432.0
11,7,346.0
11,8,5931.0
11,9,8716.0
11,10,3051.0
11,12,18058.0
11,13,30840.0
11,14,5923.0
11,15,257556.0
11,16,6869.0
11,17,19031.0
11,18,22908.25
11,19,125264.0
11,20,47954.0
12,1,19363.0
12,2,52402.0
12,3,148404.25
12,4,7737.0
12,5,35903.0
12,6,29032.0
12,7,18048.0
12,8,18131.0
12,9,21760.0
12,10,27053.0
12,11,18058.0
12,13,34272.0
12,14,19523.0
12,15,232006.0
12,16,18309.0
12,17,25333.0
12,18,30408.25
12,19,82778.0
12,20,42520.0
13,1,5425.0
13,2,42478.0
13,3,78190.25
13,4,16869.0
13,5,10787.0
13,6,11970.0
13,7,26040.0
13,8,10411.0
13,9,16842.0
13,10,53129.0
13,11,30840.0
13,12,34272.0
13,14,13411.0
13,15,113286.0
13,16,14621.0
13,17,2679.0
13,18,8412.25
13,19,44906.0
13,20,3522.0
14,1,2512.0
14,2,31521.0
14,3,118711.25
14,4,19124.0
14,5,13950.0
14,6,18183.0
14,7,4097.0
14,8,960.0
14,9,3223.0
14,10,16038.0
14,11,5923.0
14,12,19523.0
14,13,13411.0
14,15,190287.0
14,16,4028.0
14,17,5822.0
14,18,6295.25
14,19,84505.0
14,20,24099.0
15,1,161887.0
15,2,190480.0
15,3,67316.25
15,4,160801.0
15,5,134259.0
15,6,153574.0
15,7,242514.0
15,8,186417.0
15,9,193838.0
15,10,314911.0
15,11,257556.0
15,12,232006.0
15,13,113286.0
15,14,190287.0
15,16,198959.0
15,17,138651.0
15,18,139182.25
15,19,52182.0
15,20,87034.0
16,1,5080.0
16,2,27003.0
16,3,111097.25
16,4,16574.0
16,5,12186.0
16,6,8885.0
16,7,5949.0
16,8,3724.0
16,9,3079.0
16,10,16928.0
16,11,6869.0
16,12,18309.0
16,13,14621.0
16,14,4028.0
16,15,198959.0
16,17,8088.0
16,18,14155.25
16,19,85929.0
16,20,24487.0
17,1,1142.0
17,2,28847.0
17,3,83249.25
17,4,15044.0
17,5,5966.0
17,6,13521.0
17,7,14935.0
17,8,4028.0
17,9,6973.0
17,10,36848.0
17,11,19031.0
17,12,25333.0
17,13,2679.0
17,14,5822.0
17,15,138651.0
17,16,8088.0
17,18,6081.25
17,19,57253.0
17,20,7155.0
18,1,6049.25
18,2,39734.25
18,3,97286.0
18,4,19445.25
18,5,14255.25
18,6,19748.25
18,7,19262.25
18,8,8063.25
18,9,12470.25
18,10,39685.25
18,11,22908.25
18,12,30408.25
18,13,8412.25
18,14,6295.25
18,15,139182.25
18,16,14155.25
18,17,6081.25
18,19,56016.25
18,20,14604.25
19,1,68281.0
19,2,94438.0
19,3,52926.25
19,4,42009.0
19,5,55915.0
19,6,54526.0
19,7,117634.0
19,8,83221.0
19,9,87142.0
19,10,163829.0
19,11,125264.0
19,12,82778.0
19,13,44906.0
19,14,84505.0
19,15,52182.0
19,16,85929.0
19,17,57253.0
19,18,56016.25
19,20,28772.0
20,1,13285.0
20,2,37592.0
20,3,51118.25
20,4,18767.0
20,5,9027.0
20,6,16304.0
20,7,41836.0
20,8,21275.0
20,9,23850.0
20,10,74657.0
20,11,47954.0
20,12,42520.0
20,13,3522.0
20,14,24099.0
20,15,87034.0
20,16,24487.0
20,17,7155.0
20,18,14604.25
20,19,28772.0
